"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","Actions"
"Active","Aktiv"
"Add New Rule","Lägg till ny regel"
"Alphabetical","Alphabetical"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","Använd"
"Apply To","Apply To"
"Apply the rule only if the following conditions are met (leave blank for all products)","Använd regeln endast om följande villkor är uppfyllda (lämna tomt för att inkludera alla produkter)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Använd regeln endast på produkter i varukorgen som uppfyller följande villkor (lämna tomt för att inkludera alla produkter)"
"Apply the rule to cart items matching the following conditions","Använd regeln endast på produkter i varukorgen som uppfyller följande villkor"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Are you sure you want to delete the selected coupon(s)?","Are you sure you want to delete the selected coupon(s)?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Buy X get Y free (discount amount is Y)","Köp X få Y gratis (rabattbeloppet är Y)"
"By Fixed value","Utifrån fast värde"
"By Percentage","Utifrån procent"
"Can\'t acquire coupon.","Can\'t acquire coupon."
"Cart Attribute","Attribut för varukorg"
"Catalog","Katalog"
"Code Format","Code Format"
"Code Length","Code Length"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Conditions","Villkor"
"Conditions combination","Kombinera villkor"
"Coupon","Coupon"
"Coupon Code","Kupongkod"
"Coupon Qty","Coupon Qty"
"Coupon with the same code","Coupon with the same code"
"Coupons Information","Coupons Information"
"Created On","Created On"
"Customer Groups","Kundgrupper"
"Dash Every X Characters","Dash Every X Characters"
"Date Expire","Utgångsdatum"
"Date Start","Startdatum"
"Default Label","Default Label"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Description","Beskrivning"
"Discount Amount","Discount Amount"
"Discount Qty Step (Buy X)","Antal steg för rabatt (köp X)"
"Edit Rule","Ändra regel"
"Edit Rule '%s'","Ändra på regeln '%s'"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"FOUND","FOUND"
"Fixed amount discount","Fast rabattbelopp"
"Fixed amount discount for whole cart","Fast rabattbelopp för hela varukorgen"
"For matching items only","Endast för matchande produkter"
"For shipment with matching items","För leverans med matchande produkter"
"Free Shipping","Free Shipping"
"From Date","Fråndatum"
"General Information","Allmän information"
"Generate","Generate"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","If empty no separation."
"If you select and save the rule you will be able to generate multiple coupon codes.","If you select and save the rule you will be able to generate multiple coupon codes."
"Inactive","Inaktiv"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Labels"
"Manage Coupon Codes","Manage Coupon Codes"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"NOT FOUND","NOT FOUND"
"NOT LOGGED IN","[Inte inloggad]"
"New Rule","Ny regel"
"No","Nej"
"No Coupon","No Coupon"
"Not valid data provided","Not valid data provided"
"Number of Uses","Number of Uses"
"Numeric","Numeric"
"Payment Method","Betalningssätt"
"Percent of product price discount","Procent för rabatt baserad på produktpris"
"Period","Period"
"Price in cart","Pris i varukorgen"
"Priority","Prioritet"
"Product attribute combination","Kombination av produktattribut"
"Products subselection","Products subselection"
"Promotions","Marknadsföring"
"Public In RSS Feed","RSS-kanal för meddelande om tillhörighet"
"Quantity in cart","Antal i varukorgen"
"Row total in cart","Antal rader i varukorgen"
"Rule Information","Information om regel"
"Rule Name","Regelnamn"
"Rule is not defined","Rule is not defined"
"Sales Discount Amount","Sales Discount Amount"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Sales Total Amount"
"Save and Continue Edit","Save and Continue Edit"
"Shipping Country","Land för leverans"
"Shipping Method","Leveranssätt"
"Shipping Postcode","Postnummer för leverans"
"Shipping Region","Region för leverans"
"Shipping State/Province","Stat för leverans"
"Shopping Cart Price Rule","Prisregel för varukorg"
"Shopping Cart Price Rules","Prisregler för varukorg"
"Special Price","Special Price"
"Specific Coupon","Specific Coupon"
"Status","Status"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Store View Specific Labels","Store View Specific Labels"
"Subtotal","Summa"
"Subtotal Amount","Subtotal Amount"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"This rule no longer exists.","This rule no longer exists."
"Times Used","Times Used"
"To Date","Till"
"To Fixed Value","Fast värde för leveranser"
"To Percentage","Procent för leverans"
"Total","Total"
"Total Amount","Total Amount"
"Total Items Quantity","Totalt antal artiklar"
"Total Weight","Totalvikt"
"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update prices using the following information","Uppdatera priser genom att använda följande information"
"Update product's %s %s: %s","Uppdatera produktens %s %s: %s"
"Update the Product","Uppdatera produkten"
"Use Auto Generation","Use Auto Generation"
"Used","Used"
"Uses per Coupon","Uses per Coupon"
"Uses per Customer","Uses per Customer"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Wrong rule specified."
"Yes","Ja"
"total amount","total amount"
"total quantity","total quantity"
